word,count
achievement,1
available,2
beautiful,1
best,1
blessing,2
encourage,2
faith,2
boost,1
calm,1
like,4
confidence,1
cute,1
ethical,1
willing,1
excellent,1
excited,1
wonderful,1
excitement,1
free,2
win,2
worth,1
peacefully,1
right,2
fun,1
good,1
liberate,1
openly,1
peaceful,1
prefer,1
great,2
privilege,2
gusto,1
happily,1
important,1
lead,1
legendary,1
won,3
reconciliation,1
support,3
likes,1
loving,1
pleased,1
premier,2
properly,1
protect,1
proud,1
significant,1
strong,2
surreal,1
tougher,1
well,3
valuable,1
victory,1
winning,1
wonder,1
work,2
works,1
crap,1
shit,2
aggressive,1
scolding,1
lost,1
criticize,1
protest,1
complain,2
poverty,2
weaken,2
boring,1
condemn,1
disastrous,1
bemoaning,1
untenable,1
fear,1
concern,2
inability,1
loss,1
refused,2
scum,1
slaughter,1
fault,1
sarcasm,1
excuses,1
miss,1
death,1
trap,1
bitch,1
impossible,1
nonsense,1
abused,1
bad,1
racism,1
racist,2
conservative,1
contaminated,1
liability,1
crisis,1
numb,1
crushing,1
denied,1
devil,1
wasted,1
died,1
disabled,1
killing,2
dissent,1
drawbacks,1
rampant,1
enemies,1
garbage,1
issues,2
scare,1
leak,1
lies,1
loser,1
sad,1
madness,1
moronic,1
spewed,1
negative,1
nervous,1
problem,1
wrong,1
ripped,1
scary,1
struggle,1
terrible,1
undermining,1
warning,1
